scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Larus delawarensis,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus hyperboreus,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procellariidae,Chordata,Aves,Procellariiformes,Procellariidae,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Globicephala,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stercorarius pomarinus,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax auritus,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperoodon ampullatus,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Hyperoodon,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrobatidae,Chordata,Aves,Procellariiformes,Hydrobatidae,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus lherminieri,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma hasitata,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cepphus grylle,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus glaucoides glaucoides,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus puffinus,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laridae,Chordata,Aves,Charadriiformes,Laridae,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenella coeruleoalba,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Stenella,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stercorarius,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenopteridae,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,NA,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phocidae,Chordata,Mammalia,Carnivora,Phocidae,NA,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna paradisaea,Chordata,Aves,Charadriiformes,Laridae,Sterna,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stercorarius skua,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stercorarius parasiticus,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma castro,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pagophilus groenlandicus,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera musculus,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocoracidae,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,NA,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagenorhynchus albirostris,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna dougallii,Chordata,Aves,Charadriiformes,Laridae,Sterna,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Globicephala macrorhynchus,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax carbo,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus glaucoides,Chordata,Aves,Charadriiformes,Laridae,Larus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna forsteri,Chordata,Aves,Charadriiformes,Laridae,Sterna,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
