scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Myctophum nitidulum,Chordata,Teleostei,Myctophiformes,Myctophidae,Myctophum,fish,Myctophum,Pearly lanternfish,8.300000190734863,SL,bathypelagic,412,1537,fusiform / normal,oceanodromous,NA,NA
Cottunculus thomsonii,Chordata,Teleostei,Perciformes,Psychrolutidae,Cottunculus,fish,Cottunculus,Pallid sculpin,43,TL,bathydemersal,100,1600,elongated,NA,NA,NA
Salvelinus alpinus,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,fish,Salvelinus,Arctic char,107,TL,benthopelagic,0,70,fusiform / normal,anadromous,minor commercial,NA
Alepocephalus bairdii,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,fish,Alepocephalus,Baird's slickhead,100,SL,bathydemersal,365,1700,elongated,NA,minor commercial,NA
Melanonus zugmayeri,Chordata,Teleostei,Gadiformes,Melanonidae,Melanonus,fish,Melanonus,Arrowtail,28,TL,bathypelagic,991,3000,elongated,oceanodromous,of no interest,NA
Foetorepus agassizii,Chordata,Teleostei,Callionymiformes,Callionymidae,Foetorepus,fish,Foetorepus,Spotfin dragonet,24.299999237060547,TL,bathydemersal,48,700,elongated,NA,NA,NA
Scopelarchus analis,Chordata,Teleostei,Aulopiformes,Scopelarchidae,Scopelarchus,fish,Scopelarchus,Short fin pearleye,12.600000381469727,SL,bathypelagic,0,820,elongated,oceanodromous,of no interest,NA
Cyclothone alba,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,fish,Cyclothone,Bristlemouth,5.599999904632568,SL,bathypelagic,25,4938,elongated,NA,of no interest,NA
Vinciguerria nimbaria,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Vinciguerria,fish,Vinciguerria,Oceanic lightfish,5.5,SL,bathypelagic,20,5000,fusiform / normal,NA,NA,NA
Hygophum reinhardtii,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,fish,Hygophum,Reinhardt's lantern fish,6,SL,bathypelagic,0,1050,elongated,oceanodromous,NA,NA
Dicrolene introniger,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Dicrolene,fish,Dicrolene,Digitate cusk eel,35,TL,bathydemersal,700,1785,eel-like,NA,NA,trawls
Paralepis coregonoides,Chordata,Teleostei,Aulopiformes,Paralepididae,Paralepis,fish,Paralepis,Sharpchin barracudina,50,SL,bathypelagic,50,1032,elongated,oceanodromous,of no interest,NA
Mobula tarapacana,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,fish,Mobula,Chilean devil ray,328,WD,reef-associated,0,1896,other,oceanodromous,subsistence fisheries,NA
Bathytoshia centroura,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Bathytoshia,fish,Bathytoshia,Roughtail stingray,300,TL,demersal,3,270,other,NA,minor commercial,various gears
Lepomis gibbosus,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Lepomis,fish,Lepomis,Pumpkinseed,40,TL,benthopelagic,0,41,short and / or deep,potamodromous,subsistence fisheries,NA
Lopholatilus chamaeleonticeps,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Lopholatilus,fish,Lopholatilus,Great northern tilefish,125,TL,demersal,80,540,fusiform / normal,NA,commercial,hooks and lines
Bairdiella chrysoura,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Bairdiella,fish,Bairdiella,Goldtail croaker,30,TL,demersal,NA,NA,fusiform / normal,NA,minor commercial,seines
Xenodermichthys copei,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Xenodermichthys,fish,Xenodermichthys,Bluntsnout smooth-head,31,TL,bathypelagic,100,2650,elongated,NA,of no interest,NA
Liparis tunicatus,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Kelp snailfish,16,TL,demersal,0,620,fusiform / normal,NA,NA,NA
Howella sherborni,Chordata,Teleostei,Acropomatiformes,Howellidae,Howella,fish,Howella,Sherborn's pelagic bass,8,TL,bathypelagic,26,950,fusiform / normal,NA,of no interest,NA
Balistes capriscus,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,fish,Balistes,Grey triggerfish,66,TL,reef-associated,0,100,short and / or deep,NA,commercial,trawls
Rhinochimaera atlantica,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,fish,Rhinochimaera,Straightnose rabbitfish,140,TL,bathydemersal,200,1500,elongated,NA,commercial,trawls
Sarda sarda,Chordata,Teleostei,Scombriformes,Scombridae,Sarda,fish,Sarda,Atlantic bonito,91.4000015258789,FL,pelagic-neritic,80,200,fusiform / normal,oceanodromous,highly commercial,seines
Selar crumenophthalmus,Chordata,Teleostei,Carangiformes,Carangidae,Selar,fish,Selar,Bigeye scad,70,TL,reef-associated,0,170,fusiform / normal,NA,highly commercial,various gears
Anisarchus medius,Chordata,Teleostei,Perciformes,Stichaeidae,Anisarchus,fish,Anisarchus,Stout eelblenny,30,TL,demersal,10,300,elongated,NA,NA,NA
Hygophum taaningi,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,fish,Hygophum,Tåning’s lanternfish,6.599999904632568,SL,bathypelagic,250,1000,fusiform / normal,NA,NA,NA
Omosudis lowii,Chordata,Teleostei,Aulopiformes,Omosudidae,Omosudis,fish,Omosudis,Omosudid,23,SL,bathypelagic,0,4000,elongated,NA,of no interest,NA
Aldrovandia affinis,Chordata,Teleostei,Notacanthiformes,Halosauridae,Aldrovandia,fish,Aldrovandia,Gilbert's halosaurid fish,60,TL,benthopelagic,730,2560,elongated,NA,NA,NA
Lumpenus fabricii,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,fish,Lumpenus,Slender eelblenny,36.5,NG,demersal,0,235,elongated,NA,NA,NA
Canthigaster rostrata,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Canthigaster,fish,Canthigaster,Caribbean sharpnose-puffer,12,TL,reef-associated,1,40,short and / or deep,NA,commercial,NA
Aldrovandia phalacra,Chordata,Teleostei,Notacanthiformes,Halosauridae,Aldrovandia,fish,Aldrovandia,Hawaiian halosaurid fish,50,TL,benthopelagic,500,2300,eel-like,NA,NA,NA
Alepisaurus ferox,Chordata,Teleostei,Aulopiformes,Alepisauridae,Alepisaurus,fish,Alepisaurus,Long snouted lancetfish,215,TL,bathypelagic,0,1830,elongated,oceanodromous,commercial,NA
Argentina striata,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,fish,Argentina,Striated argentine,24,TL,bathypelagic,100,600,elongated,NA,of potential interest,trawls
Caranx hippos,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,fish,Caranx,Crevalle jack,124,TL,pelagic-neritic,1,350,fusiform / normal,oceanodromous,commercial,various gears
Makaira nigricans,Chordata,Teleostei,Carangiformes,Istiophoridae,Makaira,fish,Makaira,Blue marlin,500,TL,pelagic-oceanic,0,1000,elongated,oceanodromous,commercial,hooks and lines
Coelorinchus caelorhincus,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus,fish,Coelorinchus,Hollowsnout grenadier,48,TL,benthopelagic,90,1485,elongated,non-migratory,minor commercial,trawls
Opsanus tau,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Opsanus,fish,Opsanus,Oyster toadfish,43.20000076293945,TL,reef-associated,0,5,fusiform / normal,NA,commercial,seines
Bolinichthys supralateralis,Chordata,Teleostei,Myctophiformes,Myctophidae,Bolinichthys,fish,Bolinichthys,Stubby lanternfish,11.699999809265137,SL,bathypelagic,40,850,elongated,non-migratory,NA,NA
Ariomma bondi,Chordata,Teleostei,Scombriformes,Ariommatidae,Ariomma,fish,Ariomma,Silver-rag driftfish,30,TL,demersal,50,500,fusiform / normal,NA,minor commercial,trawls
Cyprinodon variegatus,Chordata,Teleostei,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,fish,Cyprinodon,Sheepshead minnow,9,TL,benthopelagic,NA,NA,short and / or deep,non-migratory,commercial,NA
Symphurus diomedeanus,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,fish,Symphurus,Spottedfin tonguefish,22,TL,reef-associated,6,263,short and / or deep,NA,of potential interest,trawls
Alopias vulpinus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,fish,Alopias,Thresher,573.29998779296875,TL,pelagic-oceanic,0,650,fusiform / normal,oceanodromous,commercial,various gears
Lestidiops affinis,Chordata,Teleostei,Aulopiformes,Paralepididae,Lestidiops,fish,Lestidiops,Barracudina,11.199999809265137,SL,bathypelagic,0,2000,eel-like,NA,NA,NA
Apristurus profundorum,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,fish,Apristurus,Deep-water catshark,54.20000076293945,TL,bathydemersal,256,1830,elongated,NA,of no interest,NA
Paraliparis calidus,Chordata,Teleostei,Perciformes,Liparidae,Paraliparis,fish,Paraliparis,Lowfin snailfish,14.199999809265137,SL,bathydemersal,150,1207,elongated,NA,NA,NA
Mobula mobular,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,fish,Mobula,Devil fish,520,WD,pelagic-neritic,0,700,other,oceanodromous,commercial,NA
Scopeloberyx robustus,Chordata,Teleostei,Beryciformes,Melamphaidae,Scopeloberyx,fish,Scopeloberyx,Longjaw bigscale,7.300000190734863,SL,bathypelagic,0,4740,fusiform / normal,NA,of no interest,NA
Rachycentron canadum,Chordata,Teleostei,Carangiformes,Rachycentridae,Rachycentron,fish,Rachycentron,Cobia,200,TL,reef-associated,0,1200,elongated,oceanodromous,minor commercial,various gears
Lycodes polaris,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,fish,Lycodes,Canadian eelpout,25,TL,demersal,0,300,elongated,NA,NA,NA
Vinciguerria poweriae,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Vinciguerria,fish,Vinciguerria,Power's deep-water bristle-mouth fish,4.300000190734863,TL,bathypelagic,50,1500,fusiform / normal,NA,NA,NA
Serrivomer lanceolatoides,Chordata,Teleostei,Anguilliformes,Serrivomeridae,Serrivomer,fish,Serrivomer,Bronze sawtooth eel,65,TL,bathypelagic,150,1000,eel-like,NA,NA,NA
Taaningichthys bathyphilus,Chordata,Teleostei,Myctophiformes,Myctophidae,Taaningichthys,fish,Taaningichthys,Deepwater lanternfish,8,SL,bathypelagic,400,1550,elongated,non-migratory,NA,NA
Lampadena urophaos,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampadena,fish,Lampadena,Sunbeam lampfish,20,SL,pelagic-oceanic,50,1047,fusiform / normal,NA,NA,NA
Idiacanthus fasciola,Chordata,Teleostei,Stomiiformes,Stomiidae,Idiacanthus,fish,Idiacanthus,Ribbon sawtail fish,48.900001525878906,SL,bathypelagic,0,2000,elongated,NA,NA,NA
Diaphus perspicillatus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,fish,Diaphus,Transparent lantern fish,10.399999618530273,TL,bathypelagic,0,1500,fusiform / normal,oceanodromous,NA,NA
Mugil curema,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,fish,Mugil,White mullet,91,TL,reef-associated,0,300,fusiform / normal,catadromous,commercial,NA
Sigmops bathyphilus,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Sigmops,fish,Sigmops,Spark anglemouth,15,SL,bathypelagic,700,3000,elongated,non-migratory,of no interest,trawls
Seriola zonata,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,fish,Seriola,Banded rudderfish,75,TL,benthopelagic,3,360,fusiform / normal,NA,minor commercial,NA
Borostomias antarcticus,Chordata,Teleostei,Stomiiformes,Stomiidae,Borostomias,fish,Borostomias,Snaggletooth,30,SL,bathydemersal,300,2630,elongated,oceanodromous,commercial,NA
Chilomycterus schoepfii,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Chilomycterus,fish,Chilomycterus,Striped burrfish,27.899999618530273,TL,reef-associated,1,11,short and / or deep,NA,of no interest,NA
Laemonema barbatulum,Chordata,Teleostei,Gadiformes,Moridae,Laemonema,fish,Laemonema,Shortbeard codling,33,SL,benthopelagic,50,1620,elongated,NA,NA,NA
Apristurus manis,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,fish,Apristurus,Ghost catshark,85,TL,bathydemersal,600,1900,elongated,NA,of no interest,NA
Scopelogadus mizolepis,Chordata,Teleostei,Beryciformes,Melamphaidae,Scopelogadus,fish,Scopelogadus,Ragged bigscale,9.399999618530273,SL,bathypelagic,300,3385,fusiform / normal,NA,of no interest,NA
Margrethia obtusirostra,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Margrethia,fish,Margrethia,Bighead portholefish,8.300000190734863,SL,bathypelagic,100,1739,fusiform / normal,NA,of no interest,NA
Diaphus brachycephalus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,fish,Diaphus,Short-headed lantern fish,6,SL,bathypelagic,200,600,fusiform / normal,oceanodromous,NA,NA
Pristigenys alta,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Pristigenys,fish,Pristigenys,Short bigeye,30,TL,reef-associated,5,200,short and / or deep,NA,of no interest,NA
Monolene sessilicauda,Chordata,Teleostei,Pleuronectiformes,Bothidae,Monolene,fish,Monolene,Deepwater flounder,18,TL,bathydemersal,150,550,fusiform / normal,NA,minor commercial,trawls
Trachinotus blochii,Chordata,Teleostei,Carangiformes,Carangidae,Trachinotus,fish,Trachinotus,Snubnose pompano,110,FL,reef-associated,1,7,short and / or deep,NA,minor commercial,various gears
Diretmus argenteus,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmus,fish,Diretmus,Silver spinyfin,27.600000381469727,TL,bathypelagic,0,2000,short and / or deep,NA,of potential interest,trawls
Gobiosoma bosc,Chordata,Teleostei,Gobiiformes,Gobiidae,Gobiosoma,fish,Gobiosoma,Naked goby,6,TL,demersal,NA,NA,elongated,NA,NA,NA
Triglops pingelii,Chordata,Teleostei,Perciformes,Cottidae,Triglops,fish,Triglops,Ribbed sculpin,20,TL,demersal,0,930,fusiform / normal,NA,of no interest,NA
Lophodolos acanthognathus,Chordata,Teleostei,Lophiiformes,Oneirodidae,Lophodolos,fish,Lophodolos,Whalehead dreamer,NA,NA,bathypelagic,650,1500,short and / or deep,NA,NA,NA
Pollichthys mauli,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Pollichthys,fish,Pollichthys,Stareye lightfish,6,SL,bathypelagic,100,600,elongated,oceanodromous,NA,NA
Epigonus pandionis,Chordata,Teleostei,Acropomatiformes,Epigonidae,Epigonus,fish,Epigonus,Bigeye,23.5,TL,bathydemersal,200,600,elongated,NA,of potential interest,NA
Menidia beryllina,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,fish,Menidia,Inland silverside,15,TL,pelagic-neritic,0,30,elongated,NA,commercial,NA
Scomberomorus cavalla,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,fish,Scomberomorus,King mackerel,184,TL,pelagic-neritic,5,140,fusiform / normal,oceanodromous,commercial,hooks and lines
Amblyraja jenseni,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,fish,Amblyraja,Shorttail skate,74.25,TL,bathydemersal,165,3000,other,NA,NA,NA
Diaphus lucidus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,fish,Diaphus,Spotlight lanternfish,11.800000190734863,SL,bathypelagic,0,2999,elongated,oceanodromous,NA,NA
Bathysaurus ferox,Chordata,Teleostei,Aulopiformes,Bathysauridae,Bathysaurus,fish,Bathysaurus,Deep-sea lizardfish,64,SL,bathydemersal,600,3500,elongated,NA,commercial,NA
Diaphus splendidus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,fish,Diaphus,Horned lanternfish,9,SL,bathypelagic,0,8000,elongated,oceanodromous,NA,NA
Echiodon dawsoni,Chordata,Teleostei,Ophidiiformes,Carapidae,Echiodon,fish,Echiodon,Chain pearlfish,11.199999809265137,TL,demersal,60,180,eel-like,NA,of no interest,NA
Polymixia nobilis,Chordata,Teleostei,Polymixiiformes,Polymixiidae,Polymixia,fish,Polymixia,Stout beardfish,48,TL,benthopelagic,100,770,fusiform / normal,NA,minor commercial,NA
Malacocephalus occidentalis,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,fish,Malacocephalus,Western softhead grenadier,45,TL,bathydemersal,140,1945,elongated,non-migratory,minor commercial,trawls
Taaningichthys minimus,Chordata,Teleostei,Myctophiformes,Myctophidae,Taaningichthys,fish,Taaningichthys,Waistcoat lanternfish,6.5,SL,bathypelagic,90,800,elongated,oceanodromous,NA,NA
Carcharodon carcharias,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,fish,Carcharodon,Great white shark,640,TL,pelagic-oceanic,0,1280,fusiform / normal,oceanodromous,minor commercial,NA
Hyperoglyphe perciformis,Chordata,Teleostei,Scombriformes,Centrolophidae,Hyperoglyphe,fish,Hyperoglyphe,Barrelfish,91,TL,pelagic-oceanic,NA,NA,fusiform / normal,NA,minor commercial,NA
Priacanthus arenatus,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Priacanthus,fish,Priacanthus,Atlantic bigeye,50,TL,reef-associated,10,200,fusiform / normal,NA,minor commercial,hooks and lines
Dasyscopelus selenops,Chordata,Teleostei,Myctophiformes,Myctophidae,Dasyscopelus,fish,Dasyscopelus,Wisner's lantern fish,7.5,TL,bathypelagic,40,500,fusiform / normal,oceanodromous,NA,NA
Liparis liparis,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Striped seasnail,15,TL,demersal,1,300,elongated,NA,NA,NA
Hypanus say,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,fish,Hypanus,Bluntnose stingray,104,WD,demersal,1,10,other,NA,NA,NA
Neocyttus helgae,Chordata,Teleostei,Zeiformes,Oreosomatidae,Neocyttus,fish,Neocyttus,False boarfish,30.5,TL,bathypelagic,915,1829,short and / or deep,NA,NA,NA
Scopelosaurus argenteus,Chordata,Teleostei,Aulopiformes,Notosudidae,Scopelosaurus,fish,Scopelosaurus,Waryfish,21.399999618530273,SL,benthopelagic,100,600,Elongated,NA,NA,NA
Bregmaceros atlanticus,Chordata,Teleostei,Gadiformes,Bregmacerotidae,Bregmaceros,fish,Bregmaceros,Antenna codlet,7.800000190734863,TL,pelagic-oceanic,NA,NA,elongated,oceanodromous,NA,NA
Aluterus schoepfii,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus,fish,Aluterus,Orange filefish,61,TL,reef-associated,3,900,short and / or deep,NA,subsistence fisheries,NA
Protomyctophum arcticum,Chordata,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,fish,Protomyctophum,Arctic telescope,6,SL,bathypelagic,90,1600,fusiform / normal,oceanodromous,NA,NA
Selene vomer,Chordata,Teleostei,Carangiformes,Carangidae,Selene,fish,Selene,Lookdown,48.29999923706055,TL,demersal,1,53,fusiform / normal,NA,minor commercial,NA
Gymnothorax ocellatus,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,fish,Gymnothorax,Ocellated moray,90,TL,reef-associated,1,160,eel-like,NA,minor commercial,NA
Pterycombus brama,Chordata,Teleostei,Scombriformes,Bramidae,Pterycombus,fish,Pterycombus,Atlantic fanfish,46,TL,pelagic-oceanic,25,600,short and / or deep,NA,minor commercial,NA
Howella brodiei,Chordata,Teleostei,Acropomatiformes,Howellidae,Howella,fish,Howella,Pelagic basslet,7.900000095367432,TL,bathypelagic,100,1829,fusiform / normal,oceanodromous,NA,NA
Coryphaenoides carapinus,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,fish,Coryphaenoides,Carapine grenadier,45,TL,bathydemersal,384,5610,elongated,NA,NA,NA
Dactylopterus volitans,Chordata,Teleostei,Dactylopteriformes,Dactylopteridae,Dactylopterus,fish,Dactylopterus,Flying gurnard,50,SL,reef-associated,1,100,fusiform / normal,NA,minor commercial,NA
Alosa mediocris,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,fish,Alosa,Hickory shad,60,SL,pelagic-neritic,NA,NA,fusiform / normal,anadromous,minor commercial,seines
Cyclothone acclinidens,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,fish,Cyclothone,Benttooth bristlemouth,6.300000190734863,SL,bathypelagic,0,4416,elongated,oceanodromous,of no interest,NA
Sander vitreus,Chordata,Teleostei,Perciformes,Percidae,Sander,fish,Sander,Walleye,107,FL,benthopelagic,0,27,elongated,potamodromous,commercial,gillnets
Evermannella balbo,Chordata,Teleostei,Aulopiformes,Evermannellidae,Evermannella,fish,Evermannella,Balbo sabretooth,16.850000381469727,SL,bathypelagic,100,1000,elongated,oceanodromous,of no interest,NA
Echiostoma barbatum,Chordata,Teleostei,Stomiiformes,Stomiidae,Echiostoma,fish,Echiostoma,Threadfin dragonfish,36.79999923706055,SL,bathypelagic,30,4200,elongated,NA,NA,NA
Melanocetus johnsonii,Chordata,Teleostei,Lophiiformes,Melanocetidae,Melanocetus,fish,Melanocetus,Humpback anglerfish,2.9000000953674316,TL,bathypelagic,100,4500,short and / or deep,NA,of no interest,NA
Lucania parva,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Lucania,fish,Lucania,Rainwater killifish,6.199999809265137,TL,pelagic-neritic,0,2,fusiform / normal,amphidromous,commercial,NA
Micromesistius poutassou,Chordata,Teleostei,Gadiformes,Gadidae,Micromesistius,fish,Micromesistius,Blue whiting,55.5,TL,bathypelagic,150,3000,elongated,oceanodromous,highly commercial,trawls
Trichiurus lepturus,Chordata,Teleostei,Scombriformes,Trichiuridae,Trichiurus,fish,Trichiurus,Largehead hairtail,234,TL,benthopelagic,0,589,eel-like,amphidromous,highly commercial,trawls
Histrio histrio,Chordata,Teleostei,Lophiiformes,Antennariidae,Histrio,fish,Histrio,Sargassumfish,20,TL,reef-associated,0,50,short and / or deep,oceanodromous,subsistence fisheries, 
Gadella imberbis,Chordata,Teleostei,Gadiformes,Moridae,Gadella,fish,Gadella,Beardless codling,23,TL,benthopelagic,200,800,elongated,NA,of no interest,trawls
Careproctus ranula,Chordata,Teleostei,Perciformes,Liparidae,Careproctus,fish,Careproctus,Scotian snailfish,8.100000381469727,SL,demersal,20,668,elongated,NA,NA,NA
Nesiarchus nasutus,Chordata,Teleostei,Scombriformes,Gempylidae,Nesiarchus,fish,Nesiarchus,Black gemfish,130,SL,benthopelagic,200,1200,elongated,NA,minor commercial,NA
Evermannella indica,Chordata,Teleostei,Aulopiformes,Evermannellidae,Evermannella,fish,Evermannella,Indian sabretooth,11.899999618530273,SL,bathypelagic,500,800,elongated,NA,of no interest,NA
Lagodon rhomboides,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Lagodon,fish,Lagodon,Pinfish,40,TL,demersal,6,30,fusiform / normal,NA,minor commercial,trawls
Euthynnus alletteratus,Chordata,Teleostei,Scombriformes,Scombridae,Euthynnus,fish,Euthynnus,Little tunny,122,TL,pelagic-oceanic,1,150,fusiform / normal,oceanodromous,commercial,seines
Melamphaes suborbitalis,Chordata,Teleostei,Beryciformes,Melamphaidae,Melamphaes,fish,Melamphaes,Shoulderspine bigscale,10.600000381469727,SL,bathypelagic,100,3200,fusiform / normal,NA,NA,NA
Gaidropsarus argentatus,Chordata,Teleostei,Gadiformes,Gaidropsaridae,Gaidropsarus,fish,Gaidropsarus,Arctic rockling,35,SL,bathydemersal,150,2260,elongated,non-migratory,commercial,NA
Cubiceps pauciradiatus,Chordata,Teleostei,Scombriformes,Nomeidae,Cubiceps,fish,Cubiceps,Bigeye cigarfish,20,TL,bathypelagic,58,1000,fusiform / normal,NA,of no interest,trawls
Scomber japonicus,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,fish,Scomber,Chub mackerel,64,TL,pelagic-neritic,0,300,fusiform / normal,oceanodromous,highly commercial,seines
Hydrolagus affinis,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,fish,Hydrolagus,Smalleyed rabbitfish,130,TL,bathydemersal,300,3000,elongated,NA,of no interest,trawls
Astroscopus guttatus,Chordata,Teleostei,Perciformes,Uranoscopidae,Astroscopus,fish,Astroscopus,Northern stargazer,59,TL,demersal,NA,36,fusiform / normal,NA,NA,NA
Anarchias similis,Chordata,Teleostei,Anguilliformes,Muraenidae,Anarchias,fish,Anarchias,Pygmy moray,20,TL,reef-associated,0,200,eel-like,NA,NA,NA
Parascombrops spinosus,Chordata,Teleostei,Acropomatiformes,Acropomatidae,Parascombrops,fish,Parascombrops,Keelcheek bass,14.399999618530273,TL,bathydemersal,87,544,fusiform / normal,NA,NA,NA
Citharichthys spilopterus,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,fish,Citharichthys,Bay whiff,21,TL,demersal,0,75,short and / or deep,NA,minor commercial,NA
Myrophis punctatus,Chordata,Teleostei,Anguilliformes,Ophichthidae,Myrophis,fish,Myrophis,Speckled worm-eel,35.29999923706055,TL,reef-associated,0,100,eel-like,NA,commercial,other
Fistularia tabacaria,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,fish,Fistularia,Cornetfish,200,TL,reef-associated,NA,200,elongated,NA,minor commercial,various gears
Sphyrna zygaena,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,fish,Sphyrna,Smooth hammerhead,500,TL,pelagic-oceanic,0,200,elongated,oceanodromous,commercial,various gears
Esox lucius,Chordata,Teleostei,Esociformes,Esocidae,Esox,fish,Esox,Northern pike,137,FL,pelagic,0,30,elongated,potamodromous,highly commercial,seines
Kaupichthys hyoproroides,Chordata,Teleostei,Anguilliformes,Chlopsidae,Kaupichthys,fish,Kaupichthys,False moray,30,TL,reef-associated,1,95,eel-like,NA,NA,NA
Rondeletia loricata,Chordata,Teleostei,Beryciformes,Rondeletiidae,Rondeletia,fish,Rondeletia,Redmouth whalefish,11,SL,bathypelagic,100,3500,fusiform / normal,NA,of no interest,NA
Chilorhinus suensonii,Chordata,Teleostei,Anguilliformes,Chlopsidae,Chilorhinus,fish,Chilorhinus,Seagrass eel,18,TL,reef-associated,NA,NA,eel-like,NA,of no interest,NA
Salmo trutta,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,fish,Salmo,Sea trout,140,SL,pelagic-neritic,0,28,fusiform / normal,anadromous,commercial,seines
Menticirrhus americanus,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,fish,Menticirrhus,Southern kingcroaker,50,TL,demersal,NA,40,fusiform / normal,oceanodromous,commercial,trawls
Halargyreus johnsonii,Chordata,Teleostei,Gadiformes,Moridae,Halargyreus,fish,Halargyreus,Slender codling,56,TL,bathypelagic,450,3000,elongated,NA,commercial,NA
Anthias nicholsi,Chordata,Teleostei,Perciformes,Anthiadidae,Anthias,fish,Anthias,Yellowfin bass,25,TL,benthopelagic,0,430,fusiform / normal,NA,NA,NA
Mugil cephalus,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,fish,Mugil,Flathead grey mullet,100,SL,benthopelagic,0,120,fusiform / normal,catadromous,highly commercial,seines
Aristostomias tittmanni,Chordata,Teleostei,Stomiiformes,Stomiidae,Aristostomias,fish,Aristostomias,Loosejaw,21.5,SL,bathypelagic,15,2000,elongated,NA,NA,NA
Scopelosaurus lepidus,Chordata,Teleostei,Aulopiformes,Notosudidae,Scopelosaurus,fish,Scopelosaurus,Blackfin waryfish,36.400001525878906,SL,benthopelagic,70,2500,elongated,oceanodromous,NA,NA
Strongylura marina,Chordata,Teleostei,Beloniformes,Belonidae,Strongylura,fish,Strongylura,Atlantic needlefish,111,TL,reef-associated,0,NA,elongated,NA,minor commercial,castnets
