#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1041	species	Ahnfeltia plicata	Eukaryota	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia	Ahnfeltia plicata	best hit
ASV10411	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	lca
ASV10420	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10424	species	Leohumicola verrucosa	Fungi	Ascomycota	Leotiomycetes	unknown order	unknown family	Leohumicola	Leohumicola verrucosa	lca
ASV10425	species	Scopalina ruetzleri	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri	lca
ASV10431	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10436	species	Minutocellus polymorphus	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	best hit
ASV10439	class	Dinophyceae	Eukaryota	Dinophyceae	Dinophyceae	no identification	no identification	no identification	no identification	lca
ASV1044	species	Squamamoeba japonica	Eukaryota	Evosea	unknown class	unknown order	unknown family	Squamamoeba	Squamamoeba japonica	best hit
ASV10445	species	Botryllus schlosseri	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botryllus	Botryllus schlosseri	best hit
ASV10453	species	Polygordius jouinae	Eukaryota	Annelida	Polychaeta	unknown order	Polygordiidae	Polygordius	Polygordius jouinae	best hit
ASV1046	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10467	species	Modiolus modiolus	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiolus	Modiolus modiolus	best hit
ASV10473	species	Micromonas pusilla	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	lca
ASV10474	species	Candidatus Pelagibacter sp. Uisw_130	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. Uisw_130	lca
ASV10478	genus	Pythium	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	Pythium	no identification	lca
ASV10479	species	Cyclotella cryptica	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	Cyclotella cryptica	lca
ASV10484	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV10488	species	Cyclotella cryptica	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	Cyclotella cryptica	lca
ASV10489	species	Pseudocalanus acuspes	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes	best hit
ASV10496	species	Strongylocentrotus droebachiensis	Eukaryota	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus droebachiensis	best hit
ASV10503	species	Nannochloropsis gaditana	Eukaryota	unknown phylum	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis	Nannochloropsis gaditana	best hit
ASV10511	genus	Saprolegnia	Eukaryota	Oomycota	unknown class	Saprolegniales	Saprolegniaceae	Saprolegnia	no identification	lca
ASV10522	species	Hemiaulus sinensis	Eukaryota	Bacillariophyta	Mediophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus	Hemiaulus sinensis	lca
ASV10526	genus	Cochliopodium	Eukaryota	Discosea	unknown class	Himatismenida	Cochliopodiidae	Cochliopodium	no identification	lca
ASV10531	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV1054	species	Corymorpha pendula	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corymorphidae	Corymorpha	Corymorpha pendula	best hit
ASV1055	class	Sordariomycetes	Fungi	Ascomycota	Sordariomycetes	no identification	no identification	no identification	no identification	lca
ASV10562	class	Sordariomycetes	Fungi	Ascomycota	Sordariomycetes	no identification	no identification	no identification	no identification	lca
ASV10567	species	Pelagomonas calceolata	Eukaryota	Pelagophyceae	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagomonas	Pelagomonas calceolata	best hit
ASV10570	species	Vannella pentlandii	Eukaryota	Discosea	Flabellinia	unknown order	Vannellidae	Vannella	Vannella pentlandii	lca
ASV10572	species	uncultured Polaribacter sp.	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	uncultured Polaribacter sp.	best hit
ASV10574	species	Berkeleya fennica	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Berkeleyaceae	Berkeleya	Berkeleya fennica	lca
ASV10583	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10584	species	Flavobacterium sp. PS2	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. PS2	best hit
ASV10585	genus	Nitzschia	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	no identification	lca
ASV10586	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10592	genus	Flavobacterium	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	no identification	lca
ASV10596	species	Idotea baltica	Eukaryota	Arthropoda	Malacostraca	Isopoda	Idoteidae	Idotea	Idotea baltica	best hit
ASV1060	species	Allocapnia pygmaea	Eukaryota	Arthropoda	Insecta	Plecoptera	Capniidae	Allocapnia	Allocapnia pygmaea	best hit
ASV10609	species	Margalefidinium polykrikoides	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium polykrikoides	best hit
ASV10611	species	Rhytidocystis sp. ex Pygospio elegans	Eukaryota	Apicomplexa	Marosporida	Agamococcidiorida	Rhytidocystidae	Rhytidocystis	Rhytidocystis sp. ex Pygospio elegans	best hit
ASV1062	species	Cyclotella cryptica	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	Cyclotella cryptica	lca
ASV10624	species	Dasybranchus sp. DH1	Eukaryota	Annelida	Polychaeta	unknown order	Capitellidae	Dasybranchus	Dasybranchus sp. DH1	best hit
ASV10651	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV10654	species	Copromyxa flindersi	Eukaryota	Tubulinea	Elardia	Euamoebida	unknown family	Copromyxa	Copromyxa flindersi	best hit
ASV10660	species	Leptosiphonia flexicaulis	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Leptosiphonia	Leptosiphonia flexicaulis	best hit
ASV10670	genus	Cochliopodium	Eukaryota	Discosea	unknown class	Himatismenida	Cochliopodiidae	Cochliopodium	no identification	lca
ASV10702	species	Micromonas pusilla	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	lca
ASV10704	species	Ectocarpus fasciculatus	Eukaryota	Phaeophyceae	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus fasciculatus	best hit
ASV10706	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10730	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10731	species	Alphaproteobacteria bacterium US3C007	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	unknown order	unknown family	unknown genus	Alphaproteobacteria bacterium US3C007	best hit
ASV10736	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV10742	species	Squamamoeba japonica	Eukaryota	Evosea	unknown class	unknown order	unknown family	Squamamoeba	Squamamoeba japonica	best hit
ASV10743	species	Habrophlebiodes americana	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Leptophlebiidae	Habrophlebiodes	Habrophlebiodes americana	best hit
ASV10744	family	Pythiaceae	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	no identification	no identification	lca
ASV10750	species	Telonemida sp.	Eukaryota	Telonemida	Telonemida	Telonemida	unknown family	unknown genus	Telonemida sp.	best hit
