#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV74	species	Thunnus thynnus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus thynnus	best hit
ASV75	species	Alosa pseudoharengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa pseudoharengus	best hit
ASV76	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV77	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV78	species	Leptoclinus maculatus	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Leptoclinus	Leptoclinus maculatus	best hit
ASV80	species	Ceratoscopelus maderensis	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Ceratoscopelus	Ceratoscopelus maderensis	best hit
ASV81	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV82	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV83	species	Enchelyopus cimbrius	Eukaryota	Chordata	Actinopteri	Gadiformes	Gaidropsaridae	Enchelyopus	Enchelyopus cimbrius	best hit
ASV84	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV85	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV86	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV87	species	Pollachius virens	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Pollachius	Pollachius virens	best hit
ASV88	species	Hemitripterus americanus	Eukaryota	Chordata	Actinopteri	Perciformes	Agonidae	Hemitripterus	Hemitripterus americanus	best hit
ASV89	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV90	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV91	species	Alosa aestivalis	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa aestivalis	best hit
ASV92	species	Morone americana	Eukaryota	Chordata	Actinopteri	unknown order	Moronidae	Morone	Morone americana	best hit
ASV93	species	Semotilus atromaculatus	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Semotilus	Semotilus atromaculatus	best hit
ASV94	species	Menidia menidia	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia menidia	best hit
