"","ASV_12S","#lca rank_12S","#lca taxon","#kingdom_12S","#phylum_12S","#class_12S","#order_12S","#family_12S","#genus_12S","#species_12S","#method_12S","tax_status_12S","family_12S","genus_12S","FBname_12S","DemersPelag_12S","AnaCat_12S","Importance_12S","marker_12S","ASV_16S","#lca rank_16S","#kingdom_16S","#phylum_16S","#class_16S","#order_16S","#family_16S","#genus_16S","#species_16S","#method_16S","tax_status_16S","family_16S","genus_16S","FBname_16S","DemersPelag_16S","AnaCat_16S","Importance_16S","marker_16S","marker"
"23","ASV28","species","Hippoglossoides platessoides","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","best hit","Has data","Pleuronectidae","Hippoglossoides","American plaice","demersal","oceanodromous","highly commercial",TRUE,"ASV33","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","best hit","Has data","Pleuronectidae","Hippoglossoides","American plaice","demersal","oceanodromous","highly commercial",TRUE,"both"
"24","ASV29","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Has data","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA,TRUE,"ASV16","species","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Has data","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA,TRUE,"both"
"25","ASV30","species","Anguilla rostrata","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","best hit","Has data","Anguillidae","Anguilla","American eel","demersal","catadromous","commercial",TRUE,"ASV521","species","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","best hit","Has data","Anguillidae","Anguilla","American eel","demersal","catadromous","commercial",TRUE,"both"
"26","ASV31","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Has data","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial",TRUE,"ASV27","species","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Has data","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial",TRUE,"both"
"27","ASV32","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Has data","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial",TRUE,"ASV68","species","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Has data","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial",TRUE,"both"
"28","ASV33","species","Triglops murrayi","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops murrayi","best hit","Has data","Cottidae","Triglops","Moustache sculpin","demersal","non-migratory","of no interest",TRUE,"ASV41","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops murrayi","best hit","Has data","Cottidae","Triglops","Moustache sculpin","demersal","non-migratory","of no interest",TRUE,"both"
"29","ASV36","species","Pseudopleuronectes americanus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","best hit","Has data","Pleuronectidae","Pseudopleuronectes","Winter flounder","demersal","oceanodromous","commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"30","ASV39","species","Myoxocephalus thompsonii","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"31","ASV40","species","Myoxocephalus octodecemspinosus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","best hit","Has data","Cottidae","Myoxocephalus","Longhorn sculpin","demersal",NA,NA,TRUE,"ASV34","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","best hit","Has data","Cottidae","Myoxocephalus","Longhorn sculpin","demersal",NA,NA,TRUE,"both"
"32","ASV41","species","Pungitius pungitius","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","best hit","Has data","Gasterosteidae","Pungitius","Ninespine stickleback","benthopelagic","anadromous","subsistence fisheries",TRUE,"ASV46","species","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","best hit","Has data","Gasterosteidae","Pungitius","Ninespine stickleback","benthopelagic","anadromous","subsistence fisheries",TRUE,"both"
"33","ASV42","species","Citharichthys arctifrons","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Has data","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA,TRUE,"ASV35","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Has data","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA,TRUE,"both"
"34","ASV44","species","Hippoglossus hippoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","best hit","Has data","Pleuronectidae","Hippoglossus","Atlantic halibut","demersal","oceanodromous","commercial",TRUE,"ASV49","species","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","best hit","Has data","Pleuronectidae","Hippoglossus","Atlantic halibut","demersal","oceanodromous","commercial",TRUE,"both"
"35","ASV47","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Has data","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial",TRUE,"ASV21","species","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Has data","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial",TRUE,"both"
"36","ASV52","species","Liparis gibbus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis gibbus","best hit","Has data","Liparidae","Liparis","Variegated snailfish","demersal",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"37","ASV57","species","Menidia beryllina","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia beryllina","best hit","Has data","Atherinopsidae","Menidia","Inland silverside","pelagic-neritic",NA,"commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"38","ASV59","species","Eumesogrammus praecisus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus","best hit","Has data","Stichaeidae","Eumesogrammus","Fourline snakeblenny","benthopelagic",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"39","ASV65","species","Liparis miostomus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis miostomus","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"40","ASV66","species","Lophius americanus","Eukaryota","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius americanus","best hit","Has data","Lophiidae","Lophius","American angler","demersal","oceanodromous","highly commercial",TRUE,"ASV50","species","Eukaryota","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius americanus","best hit","Has data","Lophiidae","Lophius","American angler","demersal","oceanodromous","highly commercial",TRUE,"both"
"41","ASV67","species","Artediellus atlanticus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus atlanticus","best hit","Has data","Cottidae","Artediellus","Atlantic hookear sculpin","demersal",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"42","ASV68","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Has data","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial",TRUE,"ASV31","species","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Has data","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial",TRUE,"both"
"43","ASV69","species","Oncorhynchus mykiss","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Has data","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial",TRUE,"ASV60","species","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Has data","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial",TRUE,"both"
"44","ASV70","species","Mola mola","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","Mola mola","best hit","Has data","Molidae","Mola","Ocean sunfish","pelagic-oceanic","oceanodromous","minor commercial",TRUE,"ASV67","species","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","Mola mola","best hit","Has data","Molidae","Mola","Ocean sunfish","pelagic-oceanic","oceanodromous","minor commercial",TRUE,"both"
"45","ASV72","species","Liparis inquilinus","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis inquilinus","best hit","Has data","Liparidae","Liparis","Inquiline snailfish","demersal",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"46","ASV73","species","Lumpenus lampretaeformis","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","best hit","Has data","Stichaeidae","Lumpenus","Snakeblenny","demersal","non-migratory","of no interest",TRUE,"ASV64","species","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","best hit","Has data","Stichaeidae","Lumpenus","Snakeblenny","demersal","non-migratory","of no interest",TRUE,"both"
"47","ASV74","species","Thunnus thynnus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus thynnus","best hit","Has data","Scombridae","Thunnus","Atlantic bluefin tuna","pelagic-oceanic","oceanodromous","commercial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"48","ASV75","species","Alosa pseudoharengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","best hit","Has data","Alosidae","Alosa","Alewife","pelagic-neritic","anadromous","commercial",TRUE,"ASV535","species","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus","best hit","Has data","Alosidae","Alosa","Alewife","pelagic-neritic","anadromous","commercial",TRUE,"both"
"49","ASV78","species","Leptoclinus maculatus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","best hit","Has data","Stichaeidae","Leptoclinus","Daubed shanny","demersal",NA,NA,TRUE,"ASV159","species","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","best hit","Has data","Stichaeidae","Leptoclinus","Daubed shanny","demersal",NA,NA,TRUE,"both"
"50","ASV80","species","Ceratoscopelus maderensis","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus maderensis","best hit","Has data","Myctophidae","Ceratoscopelus","Madeira lantern fish","bathypelagic","oceanodromous",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"51","ASV83","species","Enchelyopus cimbrius","Eukaryota","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius","best hit","Has data","Lotidae","Enchelyopus","Fourbeard rockling","demersal","oceanodromous","minor commercial",TRUE,"ASV43","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius","best hit","Has data","Lotidae","Enchelyopus","Fourbeard rockling","demersal","oceanodromous","minor commercial",TRUE,"both"
"52","ASV87","species","Pollachius virens","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","best hit","Has data","Gadidae","Pollachius","Saithe","demersal","oceanodromous","highly commercial",TRUE,"ASV84","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","best hit","Has data","Gadidae","Pollachius","Saithe","demersal","oceanodromous","highly commercial",TRUE,"both"
"53","ASV88","species","Hemitripterus americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Agonidae","Hemitripterus","Hemitripterus americanus","best hit","Has data","Hemitripteridae","Hemitripterus","Sea raven","demersal",NA,NA,TRUE,"ASV54","species","Eukaryota","Chordata","Actinopteri","Perciformes","Agonidae","Hemitripterus","Hemitripterus americanus","best hit","Has data","Hemitripteridae","Hemitripterus","Sea raven","demersal",NA,NA,TRUE,"both"
"54","ASV91","species","Alosa aestivalis","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis","best hit","Has data","Alosidae","Alosa","Blueback shad","pelagic-neritic","anadromous","commercial",TRUE,"ASV559","species","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis","best hit","Has data","Alosidae","Alosa","Blueback shad","pelagic-neritic","anadromous","commercial",TRUE,"both"
"55","ASV92","species","Morone americana","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone americana","best hit","Has data","Moronidae","Morone","White perch","benthopelagic","anadromous","minor commercial",TRUE,"ASV53","species","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone americana","best hit","Has data","Moronidae","Morone","White perch","benthopelagic","anadromous","minor commercial",TRUE,"both"
