"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","family","genus","FBname","DemersPelag","AnaCat","Importance"
"250","ASV291","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"251","ASV294","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"252","ASV295","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"253","ASV296","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"254","ASV297","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"255","ASV298","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"256","ASV300","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"257","ASV301","species","Oncorhynchus mykiss","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial"
"258","ASV303","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"259","ASV304","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"260","ASV305","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"261","ASV307","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"262","ASV310","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"263","ASV311","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"264","ASV312","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"265","ASV314","species","Paralepididae sp.","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","unknown genus","Paralepididae sp.","best hit",NA,NA,NA,NA,NA,NA
"266","ASV315","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"267","ASV318","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"268","ASV322","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"269","ASV323","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"270","ASV324","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA
"271","ASV325","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"272","ASV326","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"273","ASV328","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"274","ASV329","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"275","ASV330","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"276","ASV331","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"277","ASV332","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"278","ASV333","species","Ammodytes personatus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes personatus","best hit",NA,NA,NA,NA,NA,NA
"279","ASV334","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"280","ASV336","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"281","ASV338","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"282","ASV339","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"283","ASV340","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"284","ASV341","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"285","ASV342","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"286","ASV343","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"287","ASV344","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"288","ASV345","species","Conger oceanicus","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Conger","Conger oceanicus","best hit","Congridae","Conger","American conger","demersal","oceanodromous","minor commercial"
"289","ASV348","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"290","ASV349","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"291","ASV350","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"292","ASV351","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"293","ASV352","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"294","ASV354","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"295","ASV355","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"296","ASV357","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"297","ASV358","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"298","ASV361","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"299","ASV362","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"300","ASV363","species","Zoarces americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","best hit","Zoarcidae","Zoarces","Ocean pout","demersal","oceanodromous","commercial"
"301","ASV364","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"302","ASV365","genus","Merluccius","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","no identification","lca",NA,NA,NA,NA,NA,NA
"303","ASV366","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"304","ASV367","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"305","ASV370","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"306","ASV371","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"307","ASV372","species","Scomberesox saurus","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Scomberesox","Scomberesox saurus","best hit","Scomberesocidae","Scomberesox","Atlantic saury","pelagic-oceanic","oceanodromous","minor commercial"
"308","ASV373","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"309","ASV375","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"310","ASV376","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"311","ASV380","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"312","ASV382","species","Oncorhynchus mykiss","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","best hit","Salmonidae","Oncorhynchus","Rainbow trout","benthopelagic","anadromous","highly commercial"
"313","ASV385","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"314","ASV386","order","Perciformes","Eukaryota","Chordata","Actinopteri","Perciformes","no identification","no identification","no identification","lca",NA,NA,NA,NA,NA,NA
"315","ASV388","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"316","ASV391","species","Hemitripterus americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Agonidae","Hemitripterus","Hemitripterus americanus","best hit","Hemitripteridae","Hemitripterus","Sea raven","demersal",NA,NA
"317","ASV392","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"318","ASV394","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"319","ASV395","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"320","ASV399","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"321","ASV401","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA
"322","ASV402","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"323","ASV406","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"324","ASV408","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"325","ASV415","species","Glyptocephalus cynoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","best hit","Pleuronectidae","Glyptocephalus","Witch flounder","demersal","oceanodromous","commercial"
"326","ASV418","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"327","ASV420","species","Phycis chesteri","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis chesteri","best hit","Phycidae","Phycis","Longfin hake","benthopelagic","non-migratory","of potential interest"
"328","ASV422","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"329","ASV424","species","Hippoglossus hippoglossus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","best hit","Pleuronectidae","Hippoglossus","Atlantic halibut","demersal","oceanodromous","commercial"
"330","ASV426","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"331","ASV427","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"332","ASV428","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"333","ASV429","species","Salmo trutta","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","best hit","Salmonidae","Salmo","Sea trout","pelagic-neritic","anadromous","commercial"
"334","ASV431","species","Syngnathus fuscus","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","best hit","Syngnathidae","Syngnathus","Northern pipefish","demersal","amphidromous",NA
"335","ASV432","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"336","ASV435","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"337","ASV436","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"338","ASV437","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"339","ASV438","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"340","ASV439","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"341","ASV440","species","Anarhichas lupus","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","best hit","Anarhichadidae","Anarhichas","Atlantic wolffish","demersal","oceanodromous","highly commercial"
"342","ASV442","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"343","ASV444","order","Perciformes","Eukaryota","Chordata","Actinopteri","Perciformes","no identification","no identification","no identification","lca",NA,NA,NA,NA,NA,NA
"344","ASV445","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"345","ASV452","genus","Anarhichas","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","no identification","lca",NA,NA,NA,NA,NA,NA
"346","ASV455","genus","Anarhichas","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","no identification","lca",NA,NA,NA,NA,NA,NA
"347","ASV458","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"348","ASV466","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"349","ASV468","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"350","ASV473","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","lca","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"351","ASV474","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"352","ASV478","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit",NA,NA,NA,NA,NA,NA
"353","ASV479","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","lca","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"354","ASV482","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"355","ASV486","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"356","ASV487","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"357","ASV488","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"358","ASV489","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"359","ASV491","species","Mallotus villosus","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus","best hit","Osmeridae","Mallotus","Capelin","pelagic-oceanic","anadromous","highly commercial"
"360","ASV493","genus","Gasterosteus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","no identification","lca",NA,NA,NA,NA,NA,NA
"361","ASV494","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"362","ASV495","species","Peprilus triacanthus","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","best hit","Stromateidae","Peprilus","Atlantic butterfish","benthopelagic","oceanodromous","commercial"
"363","ASV496","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"364","ASV497","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"365","ASV499","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","lca","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"366","ASV501","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"367","ASV503","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"368","ASV508","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","lca","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"369","ASV509","species","Citharichthys arctifrons","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys arctifrons","best hit","Paralichthyidae","Citharichthys","Gulf Stream flounder","demersal",NA,NA
"370","ASV511","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"371","ASV512","species","Fundulus grandis","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus grandis","lca",NA,NA,NA,NA,NA,NA
"372","ASV515","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"373","ASV516","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"374","ASV518","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
