"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","family","genus","FBname","DemersPelag","AnaCat","Importance"
"62","ASV64","species","Lumpenus lampretaeformis","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","best hit","Stichaeidae","Lumpenus","Snakeblenny","demersal","non-migratory","of no interest"
"63","ASV66","species","Eumicrotremus spinosus","Eukaryota","Chordata","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","best hit","Cyclopteridae","Eumicrotremus","Atlantic spiny lumpsucker","demersal",NA,NA
"64","ASV67","species","Mola mola","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","Mola mola","best hit","Molidae","Mola","Ocean sunfish","pelagic-oceanic","oceanodromous","minor commercial"
"65","ASV68","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
"66","ASV69","species","Lycodes tanakae","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes tanakae","best hit",NA,NA,NA,NA,NA,NA
"67","ASV70","species","Leucoraja erinaceus","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinaceus","best hit","Rajidae","Leucoraja","Little skate","demersal","oceanodromous",NA
"68","ASV71","species","Brosme brosme","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme","best hit","Lotidae","Brosme","Cusk","demersal","oceanodromous","highly commercial"
"69","ASV72","species","Squalus acanthias","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","best hit","Squalidae","Squalus","Picked dogfish","bathydemersal","oceanodromous","commercial"
"70","ASV73","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
"71","ASV74","species","Zoarces americanus","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","best hit","Zoarcidae","Zoarces","Ocean pout","demersal","oceanodromous","commercial"
"72","ASV75","species","Eumicrotremus spinosus","Eukaryota","Chordata","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","best hit","Cyclopteridae","Eumicrotremus","Atlantic spiny lumpsucker","demersal",NA,NA
"73","ASV76","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"74","ASV77","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"75","ASV78","species","Lampanyctus macdonaldi","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus macdonaldi","best hit","Myctophidae","Lampanyctus","Rakery beaconlamp","bathypelagic","oceanodromous",NA
"76","ASV79","species","Catostomus commersonii","Eukaryota","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii","best hit","Catostomidae","Catostomus","White sucker","demersal",NA,"minor commercial"
"77","ASV80","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"78","ASV81","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"79","ASV83","species","Perca flavescens","Eukaryota","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","best hit","Percidae","Perca","American yellow perch","benthopelagic",NA,"commercial"
"80","ASV84","species","Pollachius virens","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","best hit","Gadidae","Pollachius","Saithe","demersal","oceanodromous","highly commercial"
"81","ASV86","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"82","ASV87","species","Morone saxatilis","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone saxatilis","best hit","Moronidae","Morone","Striped bass","demersal","anadromous","minor commercial"
"83","ASV88","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"84","ASV89","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"85","ASV90","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"86","ASV91","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"87","ASV92","species","Conger oceanicus","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Conger","Conger oceanicus","best hit","Congridae","Conger","American conger","demersal","oceanodromous","minor commercial"
"88","ASV93","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"89","ASV94","species","Pungitius laevis","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius laevis","best hit",NA,NA,NA,NA,NA,NA
"90","ASV95","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit",NA,NA,NA,NA,NA,NA
"91","ASV96","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"92","ASV97","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"93","ASV98","species","Pollachius virens","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","best hit","Gadidae","Pollachius","Saithe","demersal","oceanodromous","highly commercial"
"94","ASV99","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"95","ASV100","species","Dipturus batis","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus batis","best hit",NA,NA,NA,NA,NA,NA
"96","ASV101","species","Pontinus rathbuni","Eukaryota","Chordata","Actinopteri","Perciformes","Scorpaenidae","Pontinus","Pontinus rathbuni","best hit","Scorpaenidae","Pontinus","Highfin scorpionfish","demersal",NA,NA
"97","ASV102","family","Cottidae","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","no identification","no identification","lca",NA,NA,NA,NA,NA,NA
"98","ASV103","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"99","ASV104","species","Merluccius albidus","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","best hit","Merlucciidae","Merluccius","Offshore silver hake","bathydemersal","non-migratory","minor commercial"
"100","ASV105","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"101","ASV106","species","Ammodytes americanus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes americanus","best hit","Ammodytidae","Ammodytes","American sand lance","demersal",NA,"of potential interest"
"102","ASV107","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"103","ASV108","species","Paralepididae sp.","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","unknown genus","Paralepididae sp.","best hit",NA,NA,NA,NA,NA,NA
"104","ASV109","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"105","ASV110","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"106","ASV111","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"107","ASV112","species","Benthosema glaciale","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","best hit","Myctophidae","Benthosema","Glacier lantern fish","pelagic-oceanic","non-migratory","of potential interest"
"108","ASV113","species","Hippoglossina oblonga","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","best hit","Paralichthyidae","Hippoglossina","American fourspot flounder","demersal",NA,"commercial"
"109","ASV114","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"110","ASV115","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"111","ASV116","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"112","ASV117","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit",NA,NA,NA,NA,NA,NA
"113","ASV118","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit",NA,NA,NA,NA,NA,NA
"114","ASV119","species","Zenopsis conchifer","Eukaryota","Chordata","Actinopteri","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer","best hit","Zeidae","Zenopsis","Silvery John dory","benthopelagic",NA,"commercial"
"115","ASV120","genus","Liparis","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","no identification","lca",NA,NA,NA,NA,NA,NA
"116","ASV121","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"117","ASV122","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"118","ASV123","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"119","ASV124","species","Amblyraja radiata","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","best hit","Rajidae","Amblyraja","Starry ray","demersal","oceanodromous","minor commercial"
"120","ASV125","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"121","ASV126","species","Gasterosteus wheatlandi","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi","best hit","Gasterosteidae","Gasterosteus","Blackspotted stickleback","benthopelagic",NA,NA
"122","ASV127","species","Lampanyctus australis","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus australis","best hit",NA,NA,NA,NA,NA,NA
"123","ASV128","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"124","ASV129","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit",NA,NA,NA,NA,NA,NA
